,satname,Entrance_state,skip image
1991-08-28-23-14-21,L5,open,FALSE
1987-05-29-23-14-53,L5,closed,FALSE
1990-12-24-23-04-08,L5,closed,FALSE
1995-03-16-23-00-51,L5,closed,FALSE
2006-08-30-23-38-08,L5,closed,FALSE
1991-08-05-23-08-01,L5,open,FALSE
1993-06-23-23-06-59,L5,closed,FALSE
1993-07-25-23-06-53,L5,closed,FALSE
1987-10-04-23-17-58,L5,closed,FALSE
2009-05-02-23-32-02,L5,closed,FALSE
1995-01-20-22-56-53,L5,closed,FALSE
1991-01-09-23-04-34,L5,closed,FALSE
1991-11-16-23-14-54,L5,closed,FALSE
1990-11-13-23-10-11,L5,closed,FALSE
2006-11-18-23-38-58,L5,poorquality,TRUE
1998-12-05-23-29-39,L5,closed,FALSE
1995-08-16-22-47-52,L5,poorquality,TRUE
1993-03-19-23-06-40,L5,closed,FALSE
2003-07-28-23-27-21,L5,closed,FALSE
1989-03-15-23-19-56,L5,closed,FALSE
1991-04-22-23-12-42,L5,closed,FALSE
1992-03-16-23-08-42,L5,open,FALSE
1988-09-13-23-15-16,L5,closed,FALSE
1994-02-25-23-11-33,L5,closed,FALSE
1992-07-13-23-13-43,L5,closed,FALSE
1991-08-12-23-14-12,L5,open,FALSE
1987-10-13-23-11-57,L5,closed,FALSE
2003-09-23-23-22-08,L5,closed,FALSE
1996-04-19-23-00-17,L5,closed,FALSE
1994-04-30-23-10-29,L5,closed,FALSE
1998-04-25-23-27-49,L5,closed,FALSE
2009-03-15-23-31-04,L5,closed,FALSE
1999-07-26-23-22-14,L5,poorquality,TRUE
1994-08-20-23-07-53,L5,closed,FALSE
1997-09-29-23-23-31,L5,closed,FALSE
2003-07-21-23-21-02,L5,closed,FALSE
1989-02-27-23-20-29,L5,closed,FALSE
1992-05-03-23-08-18,L5,closed,FALSE
1994-07-12-23-02-43,L5,closed,FALSE
1989-08-15-23-11-11,L5,closed,FALSE
2009-02-18-23-36-39,L5,closed,FALSE
1994-01-17-23-05-51,L5,closed,FALSE
1996-05-14-22-55-35,L5,closed,FALSE
1993-06-30-23-13-06,L5,closed,FALSE
1994-09-14-23-01-05,L5,closed,FALSE
1994-12-03-22-58-31,L5,closed,FALSE
1988-08-03-23-21-25,L5,closed,FALSE
2010-04-19-23-35-23,L5,closed,FALSE
1997-08-12-23-22-07,L5,closed,FALSE
1996-07-24-23-05-35,L5,poorquality,TRUE
1993-07-16-23-13-05,L5,closed,FALSE
2004-11-03-23-35-36,L5,poorquality,TRUE
