,satname,Entrance_state,skip image,
1994-04-07-23-04-43,L5,open,FALSE,
2004-10-27-23-28-52,L5,open,FALSE,
2005-07-17-23-38-04,L5,open,FALSE,
1991-09-06-23-07-56,L5,open,FALSE,
1990-10-21-23-03-39,L5,open,FALSE,
1991-07-20-23-07-31,L5,open,FALSE,
1988-08-12-23-14-49,L5,open,FALSE,
1998-10-27-23-23-23,L5,open,FALSE,
1998-10-11-23-23-20,L5,open,FALSE,
1989-07-14-23-11-53,L5,open,FALSE,
1994-01-08-23-11-47,L5,open,FALSE,
2006-08-21-23-43-48,L5,open,FALSE,
1996-07-24-23-05-12,L5,closed,FALSE,
1991-09-29-23-14-15,L5,open,FALSE,
1999-11-06-23-26-19,L5,open,FALSE,
1993-05-13-23-12-46,L5,open,FALSE,
1990-10-21-23-04-03,L5,open,FALSE,
2003-12-03-23-28-48,L5,open,FALSE,
1989-09-16-23-10-20,L5,open,FALSE,
1998-08-31-23-28-57,L5,open,FALSE,
2004-08-24-23-27-47,L5,open,FALSE,
2004-12-30-23-30-26,L5,open,FALSE,
1999-08-02-23-28-00,L5,open,FALSE,
1996-05-30-22-56-29,L5,open,FALSE,
1997-10-08-23-17-11,L5,open,FALSE,
1999-04-21-23-23-15,L5,open,FALSE,
1991-04-15-23-06-27,L5,open,FALSE,
1998-09-25-23-22-56,L5,open,FALSE,
1997-11-09-23-18-25,L5,closed,FALSE,
1996-02-08-22-49-07,L5,unclear,FALSE,
2005-08-11-23-32-31,L5,open,FALSE,
2006-12-04-23-39-06,L5,open,FALSE,
2004-10-11-23-28-32,L5,open,FALSE,
2004-04-18-23-24-18,L5,open,FALSE,
1997-07-04-23-14-37,L5,unclear,FALSE,
2008-10-06-23-28-28,L5,open,FALSE,
1990-03-11-23-04-46,L5,open,FALSE,
2003-09-14-23-27-47,L5,open,FALSE,
1990-09-10-23-10-08,L5,open,FALSE,
1989-08-31-23-10-29,L5,open,FALSE,
1993-11-30-23-06-24,L5,open,FALSE,
2007-06-21-23-44-12,L5,open,FALSE,
2006-04-08-23-35-41,L5,open,FALSE,
1993-10-20-23-12-26,L5,open,FALSE,
1996-09-03-23-01-37,L5,open,FALSE,
1993-09-27-23-06-49,L5,open,FALSE,
1988-12-18-23-14-27,L5,open,FALSE,
1997-02-17-23-15-27,L5,open,FALSE,
2005-08-11-23-32-07,L5,open,FALSE,
1989-06-12-23-12-29,L5,open,FALSE,
2004-06-05-23-25-18,L5,open,FALSE,
1990-07-24-23-10-21,L5,open,FALSE,
2008-09-27-23-34-57,L5,open,FALSE,
2009-05-02-23-31-38,L5,open,FALSE,
1997-05-24-23-19-00,L5,unclear,FALSE,
1993-09-27-23-06-25,L5,open,FALSE,
1989-07-05-23-17-51,L5,open,FALSE,
1995-11-04-22-43-37,L5,open,FALSE,
2004-04-18-23-23-54,L5,open,FALSE,
1994-09-05-23-07-06,L5,open,FALSE,
2004-11-28-23-29-28,L5,open,FALSE,
2003-07-05-23-20-46,L5,open,FALSE,
1997-09-29-23-23-07,L5,open,FALSE,
2004-04-02-23-23-48,L5,open,FALSE,
2007-10-04-23-37-01,L5,open,FALSE,
1992-08-14-23-12-51,L5,open,FALSE,
1994-08-13-23-01-28,L5,open,FALSE,
1987-11-14-23-12-11,L5,open,FALSE,
1994-09-14-23-00-41,L5,open,FALSE,
1995-06-04-22-56-56,L5,open,FALSE,
1999-08-11-23-22-09,L5,open,FALSE,
1997-10-24-23-18-01,L5,open,FALSE,
1991-09-22-23-08-04,L5,open,FALSE,
2006-06-18-23-42-56,L5,open,FALSE,
1989-06-28-23-11-49,L5,poorquality,TRUE,
2004-12-05-23-35-48,L5,poorquality,TRUE,
2007-07-16-23-37-45,L5,open,FALSE,
1989-10-02-23-09-47,L5,open,FALSE,
2004-05-27-23-31-12,L5,open,FALSE,
2005-09-28-23-32-13,L5,open,FALSE,
2006-08-30-23-38-08,L5,open,FALSE,
1998-07-07-23-22-41,L5,open,FALSE,
2004-02-05-23-29-10,L5,open,FALSE,
1991-07-20-23-07-55,L5,open,FALSE,
1995-05-03-22-58-26,L5,open,FALSE,
1992-03-23-23-14-25,L5,open,FALSE,
1992-09-15-23-12-23,L5,open,FALSE,
1997-08-05-23-15-18,L5,open,FALSE,
2004-10-02-23-34-32,L5,open,FALSE,
1998-07-30-23-28-38,L5,open,FALSE,
