,satname,Entrance_state,skip image
2016-08-18-00-06-31,S2,open,FALSE
2020-03-20-00-06-37,S2,closed,FALSE
2019-07-24-00-06-45,S2,closed,FALSE
2018-09-17-00-02-36,S2,unclear,FALSE
2020-04-14-00-06-36,S2,closed,FALSE
2019-03-31-00-06-42,S2,closed,FALSE
2019-07-09-00-06-49,S2,closed,FALSE
2019-11-06-00-06-42,S2,closed,FALSE
2017-11-01-00-06-28,S2,open,FALSE
2020-05-24-00-06-41,S2,poorquality,TRUE
2018-06-04-00-02-37,S2,poorquality,TRUE
2017-08-08-00-06-27,S2,open,FALSE
2019-01-05-00-06-35,S2,closed,FALSE
2017-07-29-00-05-43,S2,open,FALSE
2017-12-16-00-02-28,S2,poorquality,TRUE
2018-11-26-00-06-32,S2,poorquality,TRUE
2018-01-05-00-02-32,S2,open,FALSE
2019-12-31-00-06-35,S2,closed,FALSE
2016-01-01-00-09-15,S2,open,FALSE
2019-01-25-00-06-37,S2,closed,FALSE
2017-08-18-00-04-03,S2,open,FALSE
2018-02-14-00-02-33,S2,open,FALSE
2017-08-28-00-06-24,S2,open,FALSE
2018-08-23-00-02-32,S2,open,FALSE
2020-08-02-00-06-43,S2,open,FALSE
2019-09-07-00-06-42,S2,closed,FALSE
2018-05-20-00-02-42,S2,open,FALSE
2019-06-09-00-06-48,S2,closed,FALSE
2018-08-28-00-02-38,S2,open,FALSE
2017-12-01-00-02-34,S2,open,FALSE
2018-11-01-00-02-37,S2,closed,FALSE
2016-04-30-00-06-33,S2,open,FALSE
2019-11-21-00-06-41,S2,closed,FALSE
2019-05-25-00-06-44,S2,closed,FALSE
2019-01-15-00-06-36,S2,closed,FALSE
2020-07-03-00-06-43,S2,closed,FALSE
2019-10-27-00-06-41,S2,closed,FALSE
2020-05-04-00-06-37,S2,closed,FALSE
2020-02-04-00-06-34,S2,closed,FALSE
2020-08-22-00-06-44,S2,open,FALSE
2019-05-15-00-06-44,S2,closed,FALSE
2020-05-09-00-06-45,S2,closed,FALSE
2018-11-11-00-06-38,S2,closed,FALSE
2020-01-10-00-06-35,S2,closed,FALSE
2018-04-25-00-02-38,S2,open,FALSE
2016-11-06-00-06-27,S2,open,FALSE
2018-02-24-00-02-54,S2,open,FALSE
2018-10-27-00-02-37,S2,open,FALSE
2016-04-20-00-06-30,S2,open,FALSE
2019-03-01-00-06-39,S2,closed,FALSE
2017-07-19-00-06-29,S2,open,FALSE
2020-06-23-00-06-43,S2,closed,FALSE
2018-10-22-00-02-37,S2,closed,FALSE
2019-12-01-00-06-39,S2,poorquality,TRUE
2016-05-30-00-06-34,S2,open,FALSE
2016-06-09-00-05-19,S2,open,FALSE
2016-12-26-00-02-12,S2,open,FALSE
2018-05-15-00-05-53,S2,open,FALSE
2017-06-04-00-04-37,S2,open,FALSE
2019-05-30-00-06-49,S2,closed,FALSE
2017-04-15-00-06-28,S2,open,FALSE
2018-07-29-00-02-41,S2,open,FALSE
2018-03-26-00-02-35,S2,open,FALSE
2018-05-10-00-02-42,S2,open,FALSE
2018-07-04-00-06-08,S2,open,FALSE
2017-06-14-00-06-29,S2,open,FALSE
2018-10-02-00-04-02,S2,closed,FALSE
2017-07-14-00-02-18,S2,open,FALSE
2018-07-24-00-02-37,S2,open,FALSE
2017-06-24-00-02-16,S2,open,FALSE
2017-08-13-00-06-30,S2,open,FALSE
2017-03-06-00-06-21,S2,open,FALSE
2019-10-17-00-06-42,S2,closed,FALSE
2016-07-29-00-06-33,S2,open,FALSE
2016-08-28-00-04-11,S2,open,FALSE
2017-09-07-00-03-13,S2,open,FALSE
2017-07-24-00-06-30,S2,open,FALSE
2019-06-19-00-06-48,S2,closed,FALSE
2017-09-27-00-02-25,S2,open,FALSE
2019-03-26-00-06-39,S2,closed,FALSE
2018-12-01-00-06-36,S2,closed,FALSE
2018-03-01-00-06-09,S2,open,FALSE
2019-07-14-00-06-46,S2,closed,FALSE
2019-02-24-00-06-36,S2,poorquality,TRUE
2020-06-03-00-06-42,S2,closed,FALSE
2015-09-13-00-06-31,S2,open,FALSE
2019-10-22-00-06-44,S2,closed,FALSE
2019-08-13-00-06-44,S2,closed,FALSE
2018-03-11-00-02-36,S2,open,FALSE
2018-12-26-00-06-33,S2,closed,FALSE
2020-04-04-00-06-38,S2,closed,FALSE
2020-06-18-00-06-43,S2,poorquality,TRUE
2018-06-14-00-02-38,S2,open,FALSE
2017-05-15-00-02-21,S2,open,FALSE
2019-12-26-00-06-35,S2,poorquality,TRUE
2019-02-14-00-06-37,S2,closed,FALSE
2019-04-30-00-06-48,S2,closed,FALSE
2018-08-13-00-05-52,S2,open,FALSE
2018-09-27-00-02-36,S2,open,FALSE
2017-05-25-00-06-31,S2,open,FALSE
2019-08-28-00-06-45,S2,closed,FALSE
2020-05-29-00-06-46,S2,poorquality,TRUE
2018-05-05-00-02-39,S2,open,FALSE
2019-11-01-00-06-44,S2,closed,FALSE
2019-09-02-00-06-41,S2,poorquality,TRUE
2016-08-08-00-03-48,S2,open,FALSE
2018-07-14-00-02-38,S2,open,FALSE
2020-05-19-00-06-46,S2,closed,FALSE
2016-09-17-00-04-05,S2,open,FALSE
2017-05-05-00-06-31,S2,open,FALSE
2020-01-30-00-06-33,S2,closed,FALSE
2018-07-09-00-02-41,S2,open,FALSE
2016-06-29-00-06-03,S2,open,FALSE
2019-01-30-00-06-41,S2,closed,FALSE
2018-09-07-00-02-37,S2,closed,FALSE
2020-08-17-00-06-46,S2,open,FALSE
2017-07-04-00-06-28,S2,open,FALSE
2019-04-10-00-06-45,S2,closed,FALSE
2019-08-03-00-06-45,S2,unclear,FALSE
2016-01-11-00-06-45,S2,poorquality,TRUE
2018-01-20-00-06-22,S2,open,FALSE
2019-07-19-00-06-49,S2,closed,FALSE
2016-07-09-00-06-32,S2,poorquality,TRUE
2019-02-04-00-06-37,S2,closed,FALSE
2016-05-20-00-05-06,S2,open,FALSE
2018-01-30-00-02-35,S2,open,FALSE
2017-09-02-00-06-28,S2,open,FALSE
2018-04-05-00-02-37,S2,open,FALSE
2017-02-04-00-06-22,S2,open,FALSE
2020-02-14-00-06-36,S2,closed,FALSE
2018-09-02-00-05-46,S2,unclear,FALSE
2020-09-01-00-06-44,S2,open,FALSE
2016-11-16-00-02-16,S2,open,FALSE
2016-02-10-00-06-25,S2,open,FALSE
2020-04-24-00-06-35,S2,closed,FALSE
2019-06-29-00-06-49,S2,closed,FALSE
2017-07-09-00-02-50,S2,open,FALSE
2018-05-25-00-02-37,S2,open,FALSE
2020-06-28-00-06-46,S2,closed,FALSE
2017-09-17-00-06-18,S2,open,FALSE
2020-02-24-00-06-37,S2,closed,FALSE
2017-03-26-00-06-23,S2,open,FALSE
2016-05-10-00-06-34,S2,open,FALSE
2019-09-27-00-06-40,S2,closed,FALSE
2020-02-29-00-06-36,S2,closed,FALSE
2018-06-24-00-02-39,S2,open,FALSE
2019-08-23-00-06-42,S2,poorquality,TRUE
2020-05-14-00-06-39,S2,poorquality,TRUE
2019-04-20-00-06-47,S2,closed,FALSE
2020-06-08-00-06-47,S2,closed,FALSE
1999-11-23-23-37-16,L7,closed,FALSE
2001-03-17-23-34-45,L7,unclear,FALSE
2000-10-15-23-40-49,L7,open,FALSE
2000-10-24-23-34-46,L7,open,FALSE
2001-08-24-23-33-17,L7,closed,FALSE
2000-02-27-23-37-09,L7,open,FALSE
2000-05-08-23-42-50,L7,open,FALSE
2003-02-26-23-39-21,L7,open,FALSE
2003-03-23-23-33-09,L7,open,FALSE
2000-06-02-23-36-24,L7,open,FALSE
2000-12-11-23-34-53,L7,open,FALSE
2001-10-02-23-38-57,L7,closed,FALSE
2001-07-14-23-40-02,L7,closed,FALSE
2000-04-22-23-43-00,L7,open,FALSE
2002-04-12-23-39-30,L7,open,FALSE
2002-11-06-23-38-34,L7,open,FALSE
1999-07-09-23-43-29,L7,poorquality,TRUE
2000-06-25-23-42-24,L7,open,FALSE
2002-10-14-23-32-13,L7,open,FALSE
2001-06-21-23-33-58,L7,closed,FALSE
2000-01-17-23-43-28,L7,poorquality,TRUE
2001-08-08-23-33-29,L7,closed,FALSE
2002-08-18-23-38-50,L7,open,FALSE
1999-08-10-23-43-35,L7,closed,FALSE
2003-01-25-23-39-11,L7,poorquality,TRUE
2001-03-01-23-34-50,L7,open,FALSE
2001-04-25-23-40-45,L7,closed,FALSE
2001-01-03-23-41-05,L7,open,FALSE
2002-12-01-23-32-46,L7,open,FALSE
2003-05-10-23-33-15,L7,open,FALSE
2002-04-05-23-33-18,L7,open,FALSE
2002-09-12-23-32-24,L7,open,FALSE
2003-05-01-23-39-27,L7,poorquality,TRUE
2000-07-20-23-35-52,L7,poorquality,TRUE
2001-07-23-23-33-47,L7,poorquality,TRUE
