,satname,Entrance_state,skip image,
2018-09-08-02-00-45,S2,poorquality,TRUE,
2019-01-31-02-06-58,S2,closed,FALSE,
2020-06-24-02-07-06,S2,closed,FALSE,
2015-12-08-02-00-59,S2,closed,FALSE,
2020-07-09-02-07-03,S2,poorquality,TRUE,
2018-04-11-02-06-20,S2,closed,FALSE,
2020-05-15-02-07-06,S2,closed,FALSE,
2016-07-15-02-02-03,S2,open,FALSE,
2020-01-06-02-06-55,S2,closed,FALSE,
2020-04-10-02-06-57,S2,closed,FALSE,
2018-05-16-02-03-00,S2,closed,FALSE,
2018-08-04-02-02-40,S2,poorquality,TRUE,
2017-11-07-02-01-46,S2,closed,FALSE,
2016-11-02-02-02-48,S2,closed,FALSE,
2018-05-26-02-01-39,S2,closed,FALSE,
2019-04-26-02-07-08,S2,closed,FALSE,
2018-01-26-02-06-13,S2,closed,FALSE,
2019-02-10-02-06-58,S2,closed,FALSE,
2016-12-22-01-59-07,S2,closed,FALSE,
2019-03-12-02-06-56,S2,closed,FALSE,
2018-07-10-02-00-50,S2,closed,FALSE,
2018-06-25-02-02-58,S2,closed,FALSE,
2020-04-20-02-06-56,S2,closed,FALSE,
2020-03-11-02-06-59,S2,closed,FALSE,
2016-05-16-02-02-16,S2,closed,FALSE,
2017-12-02-02-04-20,S2,closed,FALSE,
2020-05-30-02-07-02,S2,closed,FALSE,
2020-07-04-02-07-05,S2,closed,FALSE,
2018-08-19-02-05-15,S2,closed,FALSE,
2019-09-23-02-07-00,S2,closed,FALSE,
2019-03-27-02-07-02,S2,closed,FALSE,
2019-09-13-02-07-01,S2,closed,FALSE,
2018-02-15-02-04-02,S2,closed,FALSE,
2018-04-26-02-02-59,S2,closed,FALSE,
2016-06-05-02-02-15,S2,closed,FALSE,
2020-01-01-02-06-56,S2,closed,FALSE,
2020-03-31-02-06-58,S2,closed,FALSE,
2018-03-07-02-06-09,S2,closed,FALSE,
2018-12-02-02-06-52,S2,closed,FALSE,
2019-11-12-02-07-00,S2,closed,FALSE,
2020-06-09-02-07-03,S2,closed,FALSE,
2017-04-21-02-04-59,S2,closed,FALSE,
2018-06-15-02-02-57,S2,closed,FALSE,
2019-08-29-02-07-02,S2,closed,FALSE,
2019-05-06-02-07-09,S2,closed,FALSE,
2018-07-20-02-05-23,S2,closed,FALSE,
2019-01-21-02-06-57,S2,closed,FALSE,
2018-09-23-02-03-04,S2,closed,FALSE,
2018-07-25-02-02-58,S2,closed,FALSE,
2016-11-22-01-57-24,S2,closed,FALSE,
2019-10-23-02-07-02,S2,closed,FALSE,
2018-08-29-02-00-45,S2,closed,FALSE,
2019-12-27-02-06-55,S2,closed,FALSE,
2019-04-06-02-07-04,S2,closed,FALSE,
2016-10-23-01-59-20,S2,closed,FALSE,
2017-10-18-02-06-29,S2,poorquality,TRUE,
2018-12-22-02-06-52,S2,closed,FALSE,
2019-08-04-02-07-08,S2,poorquality,TRUE,
2018-05-06-02-02-02,S2,closed,FALSE,
2017-11-22-02-05-56,S2,closed,FALSE,
2020-03-26-02-06-57,S2,closed,FALSE,
2019-11-27-02-07-01,S2,poorquality,TRUE,
2018-01-01-02-05-58,S2,closed,FALSE,
2019-10-03-02-07-01,S2,closed,FALSE,
2017-01-01-02-00-38,S2,closed,FALSE,
