,satname,Entrance_state,skip image
2002-11-26-01-48-16,L7,open,FALSE
1999-11-02-01-52-57,L7,open,FALSE
1999-12-04-01-52-55,L7,open,FALSE
2002-12-12-01-48-19,L7,open,FALSE
1999-08-14-01-52-57,L7,open,FALSE
2001-06-16-01-49-38,L7,closed,FALSE
2001-04-13-01-50-12,L7,closed,FALSE
2000-01-05-01-52-54,L7,open,FALSE
2002-02-11-01-48-59,L7,open,FALSE
2000-05-28-01-52-02,L7,unclear,FALSE
2000-02-06-01-52-50,L7,open,FALSE
2000-03-25-01-52-40,L7,open,FALSE
2000-10-03-01-50-30,L7,open,FALSE
2000-10-19-01-50-16,L7,open,FALSE
2002-06-19-01-48-34,L7,closed,FALSE
2000-04-10-01-52-26,L7,poorquality,TRUE
2000-07-15-01-51-33,L7,open,FALSE
2001-09-04-01-48-41,L7,open,FALSE
2018-04-29-02-15-33,S2,open,FALSE
2016-11-15-02-14-31,S2,open,FALSE
2017-12-30-02-12-34,S2,open,FALSE
2018-12-30-02-17-18,S2,closed,FALSE
2020-03-24-02-17-19,S2,closed,FALSE
2018-12-20-02-17-16,S2,closed,FALSE
2018-12-25-02-17-13,S2,closed,FALSE
2020-08-01-02-17-24,S2,open,FALSE
2020-08-31-02-17-25,S2,open,FALSE
2015-12-21-02-17-51,S2,closed,FALSE
2020-05-03-02-17-17,S2,closed,FALSE
2020-05-28-02-17-27,S2,open,FALSE
2019-08-22-02-17-23,S2,open,FALSE
2020-06-27-02-17-26,S2,closed,FALSE
2017-12-10-02-12-24,S2,open,FALSE
2018-05-04-02-13-41,S2,closed,FALSE
2020-02-03-02-17-14,S2,closed,FALSE
2020-03-04-02-17-18,S2,closed,FALSE
2019-04-24-02-17-24,S2,closed,FALSE
2018-01-24-02-07-42,S2,open,FALSE
2019-03-30-02-17-23,S2,closed,FALSE
2019-10-21-02-17-24,S2,unclear,FALSE
2020-07-22-02-17-23,S2,closed,FALSE
2019-11-20-02-17-22,S2,poorquality,TRUE
2019-05-14-02-17-24,S2,closed,FALSE
2018-11-15-02-17-15,S2,closed,FALSE
2019-05-19-02-17-29,S2,closed,FALSE
