,satname,Entrance_state,skip image
1997-12-27-23-19-59,L5,closed,FALSE
1992-04-24-23-14-56,L5,closed,FALSE
1991-12-18-23-15-25,L5,poorquality,TRUE
1996-07-24-23-05-59,L5,closed,FALSE
1989-08-31-23-11-17,L5,closed,FALSE
1995-10-03-22-45-54,L5,closed,FALSE
1994-01-08-23-12-35,L5,closed,FALSE
1994-10-23-23-06-27,L5,closed,FALSE
1992-05-26-23-14-40,L5,closed,FALSE
1994-01-24-23-12-22,L5,closed,FALSE
2006-05-01-23-43-02,L5,closed,FALSE
1992-01-19-23-15-21,L5,poorquality,TRUE
1995-09-01-22-47-31,L5,closed,FALSE
1994-08-13-23-02-16,L5,closed,FALSE
2009-05-18-23-32-44,L5,closed,FALSE
1991-01-09-23-04-58,L5,closed,FALSE
2006-07-29-23-38-08,L5,poorquality,TRUE
2004-02-05-23-29-58,L5,closed,FALSE
1997-08-21-23-16-37,L5,closed,FALSE
1994-07-28-23-02-40,L5,closed,FALSE
1999-06-08-23-22-53,L5,closed,FALSE
1998-07-23-23-23-14,L5,open,FALSE
1987-05-29-23-15-17,L5,poorquality,TRUE
2005-04-05-23-32-00,L5,closed,FALSE
1987-05-22-23-08-56,L5,poorquality,TRUE
1990-03-02-23-12-03,L5,closed,FALSE
2009-11-10-23-35-15,L5,closed,FALSE
2003-12-28-23-23-38,L5,closed,FALSE
1997-01-16-23-14-52,L5,poorquality,TRUE
1996-07-17-22-59-26,L5,closed,FALSE
1993-09-02-23-13-27,L5,poorquality,TRUE
2004-09-16-23-34-58,L5,closed,FALSE
1994-12-10-23-04-53,L5,closed,FALSE
1994-03-29-23-11-28,L5,closed,FALSE
1988-05-08-23-15-14,L5,closed,FALSE
1991-11-16-23-15-18,L5,closed,FALSE
1995-02-21-22-55-59,L5,closed,FALSE
1989-10-02-23-10-35,L5,closed,FALSE
1988-05-31-23-21-35,L5,closed,FALSE
2007-06-21-23-45-00,L5,poorquality,TRUE
1988-11-07-23-21-41,L5,closed,FALSE
1991-12-02-23-15-32,L5,closed,FALSE
2011-03-12-23-41-00,L5,closed,FALSE
1998-06-28-23-29-08,L5,open,FALSE
2003-09-14-23-28-35,L5,closed,FALSE
1998-09-25-23-23-44,L5,closed,FALSE
1998-09-16-23-29-52,L5,closed,FALSE
1998-07-30-23-29-26,L5,open,FALSE
1996-09-10-23-08-35,L5,open,FALSE
2003-12-12-23-23-27,L5,closed,FALSE
1999-02-16-23-24-10,L5,closed,FALSE
2011-09-13-23-33-26,L5,closed,FALSE
1999-11-06-23-27-07,L5,poorquality,TRUE
1998-08-24-23-23-30,L5,closed,FALSE
2004-06-05-23-26-06,L5,closed,FALSE
2009-02-27-23-31-06,L5,closed,FALSE
1995-02-12-23-02-31,L5,closed,FALSE
1998-04-02-23-21-45,L5,closed,FALSE
1992-03-23-23-15-13,L5,closed,FALSE
1994-06-01-23-10-18,L5,closed,FALSE
1992-07-22-23-07-48,L5,closed,FALSE
2007-05-13-23-39-27,L5,poorquality,TRUE
1999-08-02-23-28-48,L5,closed,FALSE
1996-07-08-23-05-08,L5,closed,FALSE
1996-03-11-22-52-03,L5,closed,FALSE
2004-11-28-23-30-16,L5,closed,FALSE
1994-04-30-23-10-53,L5,closed,FALSE
2006-11-25-23-45-36,L5,closed,FALSE
1994-08-29-23-01-53,L5,closed,FALSE
2004-04-18-23-24-42,L5,closed,FALSE
1989-11-03-23-09-35,L5,closed,FALSE
2004-12-05-23-36-36,L5,closed,FALSE
1997-08-05-23-16-06,L5,closed,FALSE
2004-07-07-23-27-02,L5,closed,FALSE
1995-07-15-22-49-42,L5,closed,FALSE
2009-04-16-23-32-08,L5,closed,FALSE
1991-07-27-23-14-34,L5,unclear,FALSE
1988-07-02-23-21-45,L5,poorquality,TRUE
2010-09-10-23-35-08,L5,closed,FALSE
2009-08-29-23-40-37,L5,closed,FALSE
1994-10-07-23-06-59,L5,closed,FALSE
1999-03-04-23-24-04,L5,closed,FALSE
2009-01-10-23-29-51,L5,closed,FALSE
1990-11-13-23-10-35,L5,closed,FALSE
1990-07-24-23-11-09,L5,closed,FALSE
2006-08-21-23-44-36,L5,closed,FALSE
