,satname,Entrance_state,skip image,
2019-01-31-02-06-54,S2,closed,FALSE,
2017-10-30-01-55-33,S2,closed,FALSE,
2019-12-27-02-06-52,S2,closed,FALSE,
2018-10-20-01-53-51,S2,closed,FALSE,
2019-09-10-01-57-03,S2,closed,FALSE,
2018-07-17-01-51-53,S2,closed,FALSE,
2019-11-14-01-57-04,S2,closed,FALSE,
2018-12-27-02-06-54,S2,closed,FALSE,
2018-07-25-02-02-58,S2,closed,FALSE,
2019-01-13-01-57-01,S2,closed,FALSE,
2018-12-14-01-56-55,S2,closed,FALSE,
2018-08-19-02-05-15,S2,closed,FALSE,
2017-08-26-01-51-56,S2,closed,FALSE,
2018-05-06-02-02-02,S2,closed,FALSE,
2018-07-10-02-00-50,S2,closed,FALSE,
2019-08-26-01-57-03,S2,closed,FALSE,
2019-10-23-02-06-58,S2,closed,FALSE,
2019-11-12-02-06-57,S2,poorquality,TRUE,
2017-11-07-02-01-46,S2,closed,FALSE,
2018-08-21-01-51-36,S2,closed,FALSE,
2018-07-15-02-02-59,S2,closed,FALSE,
2019-05-11-02-07-01,S2,closed,FALSE,
2019-04-28-01-57-05,S2,closed,FALSE,
2017-12-24-01-52-03,S2,closed,FALSE,
2019-05-06-02-07-05,S2,closed,FALSE,
2016-11-12-02-03-14,S2,closed,FALSE,
2018-09-23-02-03-04,S2,closed,FALSE,
2018-07-27-01-53-26,S2,closed,FALSE,
2017-12-02-02-04-20,S2,poorquality,TRUE,
2018-03-09-01-56-31,S2,closed,FALSE,
2018-06-25-02-02-58,S2,closed,FALSE,
2016-07-15-02-02-03,S2,closed,FALSE,
2019-02-15-02-06-57,S2,closed,FALSE,
2018-01-06-02-02-02,S2,closed,FALSE,
2019-12-19-01-56-56,S2,closed,FALSE,
2019-03-27-02-06-58,S2,closed,FALSE,
2018-05-21-02-01-10,S2,closed,FALSE,
2018-05-08-01-54-04,S2,closed,FALSE,
2018-09-08-02-00-45,S2,closed,FALSE,
2017-12-09-01-46-47,S2,closed,FALSE,
2016-10-23-01-59-20,S2,closed,FALSE,
2018-01-21-02-05-57,S2,closed,FALSE,
2019-02-22-01-57-01,S2,closed,FALSE,
2019-01-18-01-56-58,S2,closed,FALSE,
2019-04-06-02-07-01,S2,closed,FALSE,
2019-02-20-02-06-53,S2,closed,FALSE,
2018-12-24-01-56-58,S2,closed,FALSE,
2016-11-22-01-57-24,S2,closed,FALSE,
2019-08-11-01-57-09,S2,closed,FALSE,
2019-03-17-02-06-56,S2,closed,FALSE,
2019-06-27-01-57-06,S2,closed,FALSE,
2017-01-18-01-49-51,S2,closed,FALSE,
2017-10-18-02-06-29,S2,closed,FALSE,
2019-11-09-01-57-01,S2,closed,FALSE,
2017-01-01-02-00-38,S2,closed,FALSE,
2018-06-15-02-02-57,S2,closed,FALSE,
2019-07-30-02-07-02,S2,closed,FALSE,
2018-09-03-02-02-51,S2,closed,FALSE,
2019-07-15-02-07-06,S2,closed,FALSE,
2018-09-10-01-51-45,S2,closed,FALSE,
2019-01-28-01-56-58,S2,closed,FALSE,
2019-07-07-01-57-07,S2,closed,FALSE,
2018-01-01-02-05-58,S2,closed,FALSE,
2018-09-20-01-54-00,S2,closed,FALSE,
2019-05-03-01-57-09,S2,closed,FALSE,
2019-08-14-02-07-04,S2,closed,FALSE,
2016-11-19-01-49-19,S2,closed,FALSE,
2018-02-02-01-54-26,S2,closed,FALSE,
2018-07-20-02-05-23,S2,poorquality,TRUE,
2018-06-12-01-52-26,S2,closed,FALSE,
2019-04-13-01-57-07,S2,closed,FALSE,
2018-02-25-01-57-26,S2,closed,FALSE,
2017-10-20-01-51-45,S2,closed,FALSE,
2017-03-12-02-03-53,S2,closed,FALSE,
2018-06-02-01-53-55,S2,open,FALSE,
2019-07-02-01-57-10,S2,closed,FALSE,
2018-04-21-02-03-07,S2,poorquality,TRUE,
2019-12-09-01-56-56,S2,closed,FALSE,
2019-03-04-01-56-59,S2,closed,FALSE,
2019-10-20-01-57-03,S2,closed,FALSE,
2019-11-24-01-57-02,S2,poorquality,TRUE,
2018-02-12-01-46-56,S2,poorquality,TRUE,
2019-01-16-02-06-57,S2,poorquality,TRUE,
2018-05-11-02-02-38,S2,closed,FALSE,
2019-09-30-01-57-03,S2,closed,FALSE,
2017-04-01-02-04-45,S2,closed,FALSE,
2019-06-30-02-07-02,S2,poorquality,TRUE,
2017-11-19-01-46-47,S2,closed,FALSE,
2018-01-13-01-55-27,S2,poorquality,TRUE,
2019-08-01-01-57-10,S2,closed,FALSE,
2018-12-29-01-56-55,S2,closed,FALSE,
2019-02-10-02-06-54,S2,closed,FALSE,
2019-01-11-02-06-53,S2,closed,FALSE,
2019-08-21-01-57-07,S2,closed,FALSE,
2016-04-23-01-50-22,S2,closed,FALSE,
2019-01-21-02-06-54,S2,closed,FALSE,
2018-07-12-01-55-39,S2,poorquality,TRUE,
2017-06-07-01-53-45,S2,closed,FALSE,
2017-08-21-01-54-49,S2,closed,FALSE,
2017-07-25-02-04-58,S2,closed,FALSE,
2018-06-10-02-03-45,S2,closed,FALSE,
2018-12-04-01-56-57,S2,poorquality,TRUE,
2019-09-05-01-57-01,S2,closed,FALSE,
2017-04-21-02-04-59,S2,poorquality,TRUE,
2019-12-29-01-56-57,S2,closed,FALSE,
2018-04-13-01-56-23,S2,closed,FALSE,
2018-04-23-01-47-01,S2,closed,FALSE,
2019-10-10-01-57-03,S2,closed,FALSE,
2016-07-22-01-52-31,S2,closed,FALSE,
2017-10-25-01-51-08,S2,poorquality,TRUE,
2019-12-12-02-06-52,S2,closed,FALSE,
2018-04-26-02-02-59,S2,closed,FALSE,
2018-01-26-02-06-13,S2,closed,FALSE,
2018-11-22-02-06-50,S2,closed,FALSE,
2019-06-10-02-07-00,S2,closed,FALSE,
2018-05-18-01-52-43,S2,poorquality,TRUE,
2019-06-12-01-57-09,S2,closed,FALSE,
2018-05-16-02-03-00,S2,closed,FALSE,
2018-05-23-01-55-37,S2,closed,FALSE,
2017-04-08-01-50-55,S2,closed,FALSE,
2019-04-26-02-07-04,S2,poorquality,TRUE,
2017-07-05-02-02-58,S2,closed,FALSE,
2019-08-16-01-57-05,S2,closed,FALSE,
2019-08-19-02-07-00,S2,closed,FALSE,
2019-12-14-01-56-57,S2,closed,FALSE,
2018-06-17-01-55-19,S2,closed,FALSE,
2016-05-16-02-02-16,S2,closed,FALSE,
2018-03-07-02-06-09,S2,closed,FALSE,
2019-08-04-02-07-05,S2,poorquality,TRUE,
2019-09-13-02-06-58,S2,closed,FALSE,
2019-11-27-02-06-57,S2,poorquality,TRUE,
2019-11-04-01-57-05,S2,closed,FALSE,
2016-07-02-01-52-40,S2,closed,FALSE,
2017-05-18-01-51-00,S2,closed,FALSE,
2019-05-08-01-57-05,S2,closed,FALSE,
2018-11-09-01-56-57,S2,closed,FALSE,
2018-01-08-01-55-08,S2,closed,FALSE,
2019-02-25-02-06-56,S2,closed,FALSE,
2017-05-31-02-05-01,S2,closed,FALSE,
2016-01-07-02-07-54,S2,closed,FALSE,
2018-12-09-01-56-53,S2,closed,FALSE,
2019-11-17-02-06-59,S2,closed,FALSE,
2019-09-25-01-57-02,S2,closed,FALSE,
2018-06-20-02-04-51,S2,closed,FALSE,
2019-06-05-02-07-05,S2,closed,FALSE,
2018-08-29-02-00-45,S2,closed,FALSE,
2017-07-12-01-50-57,S2,closed,FALSE,
2017-06-20-02-04-58,S2,closed,FALSE,
2019-07-17-01-57-07,S2,closed,FALSE,
2016-11-02-02-02-48,S2,closed,FALSE,
2018-06-07-01-55-26,S2,closed,FALSE,
2019-04-23-01-57-08,S2,closed,FALSE,
2016-02-06-02-04-36,S2,closed,FALSE,
2018-08-16-01-51-49,S2,closed,FALSE,
2018-02-15-02-04-02,S2,closed,FALSE,
2016-12-09-01-51-01,S2,closed,FALSE,
2001-08-21-01-36-07,L7,closed,FALSE,
2003-03-20-01-36-00,L7,poorquality,TRUE,
2003-05-23-01-36-00,L7,closed,FALSE,
1999-12-22-01-40-13,L7,poorquality,TRUE,
2001-10-08-01-35-34,L7,poorquality,TRUE,
1999-10-19-01-40-13,L7,poorquality,TRUE,
2001-05-17-01-37-10,L7,closed,FALSE,
2000-01-07-01-40-09,L7,poorquality,TRUE,
1999-08-16-01-40-10,L7,closed,FALSE,
1999-10-03-01-40-21,L7,poorquality,TRUE,
2001-04-15-01-37-26,L7,poorquality,TRUE,
2001-12-27-01-35-59,L7,poorquality,TRUE,
2000-10-05-01-37-44,L7,closed,FALSE,
2001-03-14-01-37-37,L7,closed,FALSE,
2001-02-10-01-37-44,L7,closed,FALSE,
2001-05-01-01-37-24,L7,closed,FALSE,
2002-05-04-01-36-10,L7,closed,FALSE,
2000-05-30-01-39-15,L7,closed,FALSE,
2001-06-02-01-37-02,L7,closed,FALSE,
2002-01-12-01-36-05,L7,poorquality,TRUE,
2000-02-24-01-39-56,L7,poorquality,TRUE,
2003-01-15-01-35-45,L7,poorquality,TRUE,
2000-08-02-01-38-29,L7,poorquality,TRUE,
2001-09-06-01-35-54,L7,closed,FALSE,
2002-01-28-01-36-08,L7,poorquality,TRUE,
2003-04-05-01-36-04,L7,poorquality,TRUE,
2003-04-21-01-36-03,L7,closed,FALSE,
2000-09-03-01-38-09,L7,closed,FALSE,
2017-03-18-01-47-00,L8,closed,FALSE,
2015-07-03-01-46-44,L8,closed,FALSE,
2019-05-11-01-46-51,L8,closed,FALSE,
2014-03-10-01-47-52,L8,poorquality,TRUE,
2016-05-02-01-46-56,L8,closed,FALSE,
2015-09-05-01-47-09,L8,poorquality,TRUE,
2019-07-30-01-47-21,L8,closed,FALSE,
2017-04-03-01-46-53,L8,poorquality,TRUE,
2018-03-05-01-46-59,L8,poorquality,TRUE,
2013-10-01-01-49-12,L8,closed,FALSE,
2013-04-24-01-49-05,L8,closed,FALSE,
2019-07-14-01-47-15,L8,closed,FALSE,
2015-03-29-01-46-47,L8,poorquality,TRUE,
2019-01-19-01-47-08,L8,poorquality,TRUE,
2014-11-05-01-47-32,L8,poorquality,TRUE,
2019-06-12-01-47-07,L8,closed,FALSE,
2018-06-09-01-46-08,L8,closed,FALSE,
2017-07-24-01-47-13,L8,closed,FALSE,
2016-10-25-01-47-40,L8,closed,FALSE,
2017-05-05-01-46-37,L8,closed,FALSE,
2015-04-14-01-46-42,L8,closed,FALSE,
2018-07-11-01-46-27,L8,closed,FALSE,
2016-05-18-01-46-53,L8,closed,FALSE,
2019-10-02-01-47-40,L8,open,FALSE,
2013-10-17-01-49-10,L8,open,FALSE,
2018-08-12-01-46-43,L8,unclear,FALSE,past this one
2015-10-07-01-47-20,L8,poorquality,TRUE,
2019-04-09-01-46-49,L8,closed,FALSE,
2016-06-03-01-46-59,L8,closed,FALSE,
2014-09-18-01-47-27,L8,poorquality,TRUE,
2016-11-26-01-47-39,L8,poorquality,TRUE,
2015-10-23-01-47-23,L8,poorquality,TRUE,
2015-03-13-01-46-55,L8,poorquality,TRUE,
2015-12-26-01-47-27,L8,poorquality,TRUE,
2013-05-26-01-49-22,L8,closed,FALSE,
2018-05-08-01-46-25,L8,poorquality,TRUE,
2018-05-24-01-46-13,L8,poorquality,TRUE,
2013-08-14-01-49-19,L8,open,FALSE,
2015-02-09-01-47-12,L8,poorquality,TRUE,
2019-09-16-01-47-36,L8,poorquality,TRUE,
2017-12-15-01-47-29,L8,poorquality,TRUE,
2014-04-11-01-47-23,L8,poorquality,TRUE,
2018-06-25-01-46-19,L8,closed,FALSE,
2017-10-28-01-47-37,L8,poorquality,TRUE,
2018-03-21-01-46-51,L8,poorquality,TRUE,
1987-12-29-01-16-05,L5,poorquality,TRUE,
1996-06-28-01-00-48,L5,closed,FALSE,
1991-01-06-01-07-17,L5,poorquality,TRUE,
2007-03-07-01-42-16,L5,poorquality,TRUE,
1990-03-24-01-07-34,L5,closed,FALSE,
2004-07-04-01-29-20,L5,closed,FALSE,
2003-12-09-01-25-49,L5,poorquality,TRUE,
2006-06-24-01-40-02,L5,closed,FALSE,
1999-03-01-01-26-31,L5,poorquality,TRUE,
2009-11-07-01-37-37,L5,poorquality,TRUE,
1991-10-21-01-11-29,L5,poorquality,TRUE,
1990-04-25-01-07-33,L5,poorquality,TRUE,
2011-03-02-01-37-17,L5,poorquality,TRUE,
1992-01-09-01-11-33,L5,poorquality,TRUE,
2004-06-18-01-28-50,L5,closed,FALSE,
1988-07-08-01-17-59,L5,closed,FALSE,
2010-09-23-01-37-28,L5,poorquality,TRUE,
2004-08-21-01-30-29,L5,closed,FALSE,
1986-09-21-01-07-41,L5,poorquality,TRUE,
2009-01-23-01-32-35,L5,poorquality,TRUE,
1989-06-25-01-15-04,L5,open,FALSE,
1999-05-20-01-25-41,L5,closed,FALSE,
1996-02-05-00-52-03,L5,poorquality,TRUE,
1994-01-30-01-08-33,L5,poorquality,TRUE,
2008-09-17-01-32-19,L5,poorquality,TRUE,
2005-09-02-01-29-39,L5,poorquality,TRUE,
1996-06-12-00-59-57,L5,closed,FALSE,
2009-09-04-01-36-55,L5,closed,FALSE,
1995-03-22-00-57-15,L5,poorquality,TRUE,
1989-02-01-01-17-21,L5,poorquality,TRUE,
1996-09-16-01-05-05,L5,closed,FALSE,
2010-10-09-01-37-20,L5,poorquality,TRUE,
2005-08-08-01-35-18,L5,closed,FALSE,
2007-07-13-01-40-59,L5,closed,FALSE,
2011-01-13-01-37-15,L5,poorquality,TRUE,
2003-09-04-01-24-37,L5,closed,FALSE,
1987-05-28-01-05-41,L5,poorquality,TRUE,
2007-04-17-01-36-19,L5,poorquality,TRUE,
2006-07-26-01-40-29,L5,closed,FALSE,
1993-02-12-01-09-15,L5,poorquality,TRUE,
2005-01-12-01-33-22,L5,poorquality,TRUE,
1992-01-25-01-11-36,L5,poorquality,TRUE,
1999-05-04-01-25-59,L5,poorquality,TRUE,
1988-10-12-01-17-53,L5,poorquality,TRUE,
2010-09-07-01-37-33,L5,closed,FALSE,
2007-02-12-01-36-30,L5,poorquality,TRUE,
2006-04-21-01-39-06,L5,closed,FALSE,
1992-02-26-01-11-31,L5,poorquality,TRUE,
2008-11-04-01-30-44,L5,closed,FALSE,
2006-03-04-01-38-12,L5,closed,FALSE,
1994-04-20-01-07-18,L5,poorquality,TRUE,
2005-09-18-01-29-40,L5,closed,FALSE,
